cases.0.project.project_id	cases.0.samples.0.tissue_type	file_id	id
TCGA-BRCA	Tumor	6b62d6dd-bb6f-4f39-9041-992c47b875f3	6b62d6dd-bb6f-4f39-9041-992c47b875f3
TCGA-BRCA	Tumor	d67d6fbf-50fa-485e-8ac7-a3c7ac33b3b2	d67d6fbf-50fa-485e-8ac7-a3c7ac33b3b2
TCGA-BRCA	Tumor	90452523-0f9a-4c14-9d5f-e44f7079fb18	90452523-0f9a-4c14-9d5f-e44f7079fb18
TCGA-BRCA	Tumor	9c55de9c-a13e-4772-9a5d-4cde38f75cf3	9c55de9c-a13e-4772-9a5d-4cde38f75cf3
TCGA-BRCA	Normal	eddb2dc6-2b72-43a8-a7fc-3dd09dde68af	eddb2dc6-2b72-43a8-a7fc-3dd09dde68af
TCGA-BRCA	Tumor	eb166054-ff70-4a86-883b-9c25a7d2b0e5	eb166054-ff70-4a86-883b-9c25a7d2b0e5
TCGA-BRCA	Tumor	3b9e620f-a661-4a1d-ac46-ab4c56a4b241	3b9e620f-a661-4a1d-ac46-ab4c56a4b241
TCGA-BRCA	Tumor	7e915086-4926-4670-9f43-e35e2d04d6c5	7e915086-4926-4670-9f43-e35e2d04d6c5
TCGA-BRCA	Tumor	055f6138-ea7a-468d-90c2-87a473486867	055f6138-ea7a-468d-90c2-87a473486867
TCGA-BRCA	Tumor	3bb2e240-9cea-4dd2-be32-6bc6976a79b1	3bb2e240-9cea-4dd2-be32-6bc6976a79b1
TCGA-BRCA	Tumor	89ece3f8-e2db-4ed6-b5b8-dd4df34d6224	89ece3f8-e2db-4ed6-b5b8-dd4df34d6224
TCGA-BRCA	Tumor	3396edba-0d2a-4485-ad0a-5114b38c1abe	3396edba-0d2a-4485-ad0a-5114b38c1abe
TCGA-BRCA	Tumor	fb397586-1b5b-40e0-a885-8663f9c76f6d	fb397586-1b5b-40e0-a885-8663f9c76f6d
TCGA-BRCA	Tumor	14979d31-e8b1-4948-beea-f913dfefa200	14979d31-e8b1-4948-beea-f913dfefa200
TCGA-BRCA	Tumor	59c3cb45-ca6e-40ad-a3f0-9b496b934aa5	59c3cb45-ca6e-40ad-a3f0-9b496b934aa5
TCGA-BRCA	Tumor	1936440a-9cfc-4b04-af40-3fbc22fe87f6	1936440a-9cfc-4b04-af40-3fbc22fe87f6
TCGA-GBM	Tumor	3f3cea14-b553-4e0b-a255-a15999e760fe	3f3cea14-b553-4e0b-a255-a15999e760fe
TCGA-GBM	Tumor	5ab9f2d4-e7da-4337-a0e0-24c3a79800c4	5ab9f2d4-e7da-4337-a0e0-24c3a79800c4
TCGA-GBM	Tumor	4b88ba3b-6b4b-42b4-a64d-d45358cef26d	4b88ba3b-6b4b-42b4-a64d-d45358cef26d
TCGA-GBM	Tumor	f9fd3da8-5a2d-4f4d-a91c-4ab3f8666a97	f9fd3da8-5a2d-4f4d-a91c-4ab3f8666a97
TCGA-GBM	Tumor	1c091fe9-f2ca-478c-95be-b924f30c4c75	1c091fe9-f2ca-478c-95be-b924f30c4c75
TCGA-ESCA	Tumor	379b657a-a032-4278-807a-a1e5de5d5b9a	379b657a-a032-4278-807a-a1e5de5d5b9a
TCGA-HNSC	Tumor	ecffbb22-a57d-4250-937c-d8a73a93d97e	ecffbb22-a57d-4250-937c-d8a73a93d97e
TCGA-HNSC	Normal	a70a9ffa-3c34-44e8-a5c8-987c1d75eec0	a70a9ffa-3c34-44e8-a5c8-987c1d75eec0
TCGA-HNSC	Normal	abbfd050-61b3-4138-94d2-19a11fe55407	abbfd050-61b3-4138-94d2-19a11fe55407
TCGA-HNSC	Tumor	6bbf7ecc-6210-4173-956a-aa241cbbff2c	6bbf7ecc-6210-4173-956a-aa241cbbff2c
TCGA-KICH	Tumor	a02fc376-4376-41f7-a2e3-1f3de09354b3	a02fc376-4376-41f7-a2e3-1f3de09354b3
TCGA-KICH	Normal	634895fe-6325-4d91-a9b6-037c3f0e2aea	634895fe-6325-4d91-a9b6-037c3f0e2aea
TCGA-HNSC	Tumor	b4dd9915-1bee-4a4c-8cfa-9bb5c8157243	b4dd9915-1bee-4a4c-8cfa-9bb5c8157243
TCGA-KICH	Tumor	63e20c7d-64a5-48f3-8b66-f58b57dd4a7e	63e20c7d-64a5-48f3-8b66-f58b57dd4a7e
TCGA-HNSC	Tumor	46d1ac65-127b-4e7c-b7e0-ac720f06be1a	46d1ac65-127b-4e7c-b7e0-ac720f06be1a
